施設ID,施設GID,施設FID
ChIJv-p-y6X2AGARHe7dtzKFff0,ChIJv-p-y6X2AGARHe7dtzKFff0,0x6000f6a5cb7eeabf:0xfd7d8532b7ddee1d
ChIJ7fiP653zAGAR2-68PgfuaTg,ChIJ7fiP653zAGAR2-68PgfuaTg,0x6000f39deb8ff8ed:0x3869ee073ebceedb
ChIJr9916kCLGGARmwLHOk_xc7I,ChIJr9916kCLGGARmwLHOk_xc7I,0x60188b40ea75dfaf:0xb273f14f3ac7029b
ChIJ15epZNWMGGARQo7B90S6UBQ,ChIJ15epZNWMGGARQo7B90S6UBQ,0x60188cd564a997d7:0x1450ba44f7c18e42
ChIJUcTesZ6PAGARvQgkQY2G34I,ChIJUcTesZ6PAGARvQgkQY2G34I,0x60008f9eb1dec451:0x82df868d412408bd
ChIJSyhxB4KMGGAR6WlGxxjJ8X8,ChIJSyhxB4KMGGAR6WlGxxjJ8X8,0x60188c820771284b:0x7ff1c918c74669e9
ChIJ_0qdbdjzGGAR1IKBhSzIMEo,ChIJ_0qdbdjzGGAR1IKBhSzIMEo,0x6018f3d86d9d4aff:0x4a30c82c858182d4
ChIJL5Dt_J2MGGARCfpV-z8DEcU,ChIJL5Dt_J2MGGARCfpV-z8DEcU,0x60188c9dfced902f:0xc511033ffb55fa09
ChIJEyfyXpYIAWARMt4WA8jiue0,ChIJEyfyXpYIAWARMt4WA8jiue0,0x600108965ef22713:0xedb9e2c80316de32
ChIJ80aDj_mOAGARzWiMo2KCmVA,ChIJ80aDj_mOAGARzWiMo2KCmVA,0x60008ef98f8346f3:0x50998262a38c68cd
ChIJPQnV2H1uA2ARgbpVacfbo28,ChIJPQnV2H1uA2ARgbpVacfbo28,0x60036e7dd8d5093d:0x6fa3dbc76955ba81
ChIJc1U9pNRwA2ARtngbrwfyehk,ChIJc1U9pNRwA2ARtngbrwfyehk,0x600370d4a43d5573:0x197af207af1b78b6
ChIJAQDkjOZ2A2ARK6sEdBa1Kf0,ChIJAQDkjOZ2A2ARK6sEdBa1Kf0,0x600376e68ce40001:0xfd29b5167404ab2b
ChIJFx5Hk2x7A2ARfgaWKEgNaJQ,ChIJFx5Hk2x7A2ARfgaWKEgNaJQ,0x60037b6c93471e17:0x94680d482896067e
ChIJH56mvVp6A2ARJAmAcEcmaDM,ChIJH56mvVp6A2ARJAmAcEcmaDM,0x60037a5abda69e1f:0x3368264770800924
ChIJr18nJStxA2ARvm2M-q0aM6Q,ChIJr18nJStxA2ARvm2M-q0aM6Q,0x6003712b25275faf:0xa4331aadfa8c6dbe
ChIJj7KVkiV3A2AR-TVu6FgJPc4,ChIJj7KVkiV3A2AR-TVu6FgJPc4,0x600377259295b28f:0xce3d0958e86e35f9
ChIJ3RpzsNZ2A2ARed3ZwotsCvQ,ChIJ3RpzsNZ2A2ARed3ZwotsCvQ,0x600376d6b0731add:0xf40a6c8bc2d9dd79
ChIJN_yqctV2A2ARQEYbLEH4c64,ChIJN_yqctV2A2ARQEYbLEH4c64,0x600376d572aafc37:0xae73f8412c1b4640
ChIJxbXiwqGLGGARV5VOZPY2Igs,ChIJxbXiwqGLGGARV5VOZPY2Igs,0x60188ba1c2e2b5c5:0xb2236f6644e9557
ChIJtalCoqi9GGARrFl4WGfnK9U,ChIJtalCoqi9GGARrFl4WGfnK9U,0x6018bda8a242a9b5:0xd52be767587859ac
ChIJJ5jqDcVzAWARyB2tV__G3_c,ChIJJ5jqDcVzAWARyB2tV__G3_c,0x600173c50dea9827:0xf7dfc6ff57ad1dc8
ChIJY_sqVjD7GGAR66OM5YX4m24,ChIJY_sqVjD7GGAR66OM5YX4m24,0x6018fb30562afb63:0x6e9bf885e58ca3eb
ChIJy-ZapVwPAWARIMfUk2nqh8U,ChIJy-ZapVwPAWARIMfUk2nqh8U,0x60010f5ca55ae6cb:0xc587ea6993d4c720
ChIJ0-xh7vIIAWAR-rBVt9UQhdY,ChIJ0-xh7vIIAWAR-rBVt9UQhdY,0x600108f2ee61ecd3:0xd68510d5b755b0fa
ChIJsf_NGRYIAWAR81Mp_Tqz5gQ,ChIJsf_NGRYIAWAR81Mp_Tqz5gQ,0x6001081619cdffb1:0x4e6b33afd2953f3
ChIJsayiMNjmAGARF25J-vR_bWk,ChIJsayiMNjmAGARF25J-vR_bWk,0x6000e6d830a2acb1:0x696d7ff4fa496e17
ChIJgxzxxeHmAGARqTOJS2bWSzM,ChIJgxzxxeHmAGARqTOJS2bWSzM,0x6000e6e1c5f11c83:0x334bd6664b8933a9
ChIJt4bKRBXkAGARPNTIwEwBGVM,ChIJt4bKRBXkAGARPNTIwEwBGVM,
ChIJP1YSexDnAGARDj1phyN3X3M,ChIJP1YSexDnAGARDj1phyN3X3M,0x6000e7107b12563f:0x735f772387693d0e
ChIJTWmYrY4DAWARACAwF31jQk4,ChIJTWmYrY4DAWARACAwF31jQk4,0x6001038ead98694d:0x4e42637d17302000
ChIJiQjL-fnkAGAR333zko1nT7M,ChIJiQjL-fnkAGAR333zko1nT7M,0x6000e4f9f9cb0889:0xb34f678d92f37ddf
